frame,player1_x,player1_y,player2_x,player2_y,ball_x,ball_y
119,96.00402069091797,1823.507568359375,,,,
120,94.37023162841797,1823.539794921875,,,,
121,93.5533447265625,1823.5557861328125,,,,
122,90.81361389160156,1821.288330078125,,,,
123,89.995849609375,1821.304443359375,,,,
124,89.995849609375,1821.304443359375,,,,
125,88.65211486816406,1823.6522216796875,,,,
126,87.0184097290039,1823.684326171875,,,,
127,87.0184097290039,1823.684326171875,,,,
128,87.0184097290039,1823.684326171875,,,,
129,87.54259490966797,1821.352783203125,,,,
130,88.94325256347656,1825.9627685546875,,,,
131,89.23375701904297,1828.268310546875,,,,
132,91.15203094482422,1830.536865234375,,,,
133,95.50617980957031,1832.7525634765625,,,,
134,94.69283294677734,1832.7685546875,,,,
135,97.13287353515625,1832.7205810546875,,,,
136,102.01306915283203,1832.624755859375,,,,
137,105.53179931640625,1814.0037841796875,,,,
138,108.55067443847656,1804.545654296875,,,,
139,111.86601257324219,1797.376708984375,,,,
140,114.15887451171875,1773.308837890625,,,,
141,117.57970428466797,1758.5679931640625,,,,
142,119.66496276855469,1738.651611328125,,,,
143,120.0264892578125,1726.0382080078125,,,,
144,121.78845977783203,1718.3699951171875,,,,
145,123.23674011230469,1715.7850341796875,,,,
146,124.48582458496094,1702.891357421875,,,,
147,126.5468978881836,1697.660888671875,,,,
148,128.01412963867188,1695.02783203125,,,,
149,130.6128387451172,1694.9757080078125,,,,
150,132.08653259277344,1692.33642578125,,,,
151,132.69537353515625,1689.70849609375,,,,
152,136.42286682128906,1692.249267578125,,,,
153,140.76821899414062,1710.3040771484375,,,,
154,145.65829467773438,1725.5260009765625,,,,
155,150.3319549560547,1748.0233154296875,,,,
156,155.35997009277344,1774.91845703125,,,,
157,160.0504608154297,1798.7982177734375,,,,
158,166.69436645507812,1835.94287109375,,,,
159,172.7393035888672,1858.472412109375,,,,
160,176.30453491210938,1871.7598876953125,,,,
161,181.04052734375,1880.47802734375,,,,
162,184.58322143554688,1884.7862548828125,,,,
163,189.51820373535156,1886.8719482421875,,,,
164,193.82264709472656,1891.137939453125,,,,
165,197.65333557128906,1899.7081298828125,,,,
166,202.69955444335938,1903.9052734375,,,,
167,206.78465270996094,1905.9669189453125,,,,
168,210.2296142578125,1910.16845703125,,,,
169,212.87860107421875,1914.36767578125,,,,
170,215.3702850341797,1916.4381103515625,,,,
171,214.88333129882812,1920.671630859375,,,,
172,216.87562561035156,1926.9364013671875,,,,
173,217.93853759765625,1931.0963134765625,,,,
174,218.0811309814453,1933.1773681640625,,,,
175,219.77072143554688,1935.22412109375,,,,
176,223.6389923095703,1935.1495361328125,,,,
177,228.2810516357422,1935.0599365234375,,,,
178,232.92324829101562,1934.9703369140625,,,,
179,238.21780395507812,1932.7884521484375,,,,
180,243.63966369628906,1932.683837890625,,,,
181,251.38551330566406,1932.5343017578125,,,,
182,256.8078308105469,1932.4295654296875,,,,
183,260.6810607910156,1932.354736328125,,,,
