frame,player1_x,player1_y,player2_x,player2_y,ball_x,ball_y
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,1142,606,,,,
12,1141,605,,,,
13,1141,605,,,,
14,1131,601,,,,
15,1116,597,,,,
16,1116,597,,,,
17,1116,597,,,,
18,1116,597,,,,
19,1116,597,,,,
20,1060,628,,,,
21,1059,638,,,,
22,1068,646,,,,
23,1068,646,,,,
24,1086,608,,,,
25,1099,581,,,,
26,1107,569,1147,740,,
27,1112,562,1147,740,,
28,1119,508,1147,737,,
29,1126,473,1150,731,,
30,1139,460,1161,720,,
31,1149,474,1174,710,,
32,1156,500,1185,704,,
33,1159,533,1193,699,,
34,1159,533,1200,697,,
35,1125,587,1204,693,,
36,1105,607,1202,691,,
37,1097,622,1206,693,,
38,1086,634,1208,692,,
39,1089,642,1208,691,,
40,1082,641,1212,693,,
41,1088,640,1214,693,,
42,1093,649,1214,693,,
43,1095,655,1214,693,,
44,1094,657,1214,693,,
45,1091,658,1214,693,,
46,1088,655,1214,693,,
47,1085,651,1190,682,,
48,1082,647,1183,681,,
49,1079,659,1179,683,,
50,1077,667,1175,686,,
51,1075,672,1172,688,,
52,1073,671,1168,688,,
53,1072,670,1164,694,,
54,1071,671,1159,703,,
55,1071,670,1153,712,,
56,1073,673,1153,712,,
57,1079,674,1153,712,,
58,1079,676,1153,712,,
59,1076,677,1153,712,,
60,1074,680,1153,712,,
61,1072,678,1153,712,,
62,1070,678,1153,712,,
63,1068,678,1153,712,,
64,1068,676,1153,712,,
65,1066,674,1153,712,,
66,1063,673,1153,712,,
67,1060,671,1153,712,,
68,1057,670,1153,712,,
69,1053,669,1153,712,,
70,1050,669,,,,
71,1046,669,,,,
72,1042,670,,,,
73,1039,670,,,,
74,1034,672,,,,
75,1028,674,,,,
76,1020,676,,,,
77,1013,678,,,,
78,1005,680,,,,
79,999,682,,,,
80,994,684,,,,
81,992,687,,,,
82,990,691,,,,
83,990,694,,,,
84,990,696,732,184,,
85,990,697,732,183,,
86,991,697,732,184,,
87,991,697,732,184,,
88,990,697,732,187,,
89,988,697,734,190,,
90,982,696,734,190,,
91,975,696,734,190,,
92,966,696,734,190,,
93,956,696,736,212,,
94,944,696,736,212,,
95,932,696,736,212,,
96,919,698,736,212,,
97,905,700,736,212,,
98,894,702,736,212,,
99,884,705,736,212,,
100,876,709,736,212,,
101,869,712,736,212,,
102,862,716,736,212,,
103,856,719,736,212,,
104,851,722,736,212,,
105,845,725,736,212,,
106,840,727,736,212,,
107,834,727,736,212,,
108,827,728,,,,
109,820,727,,,,
110,812,727,794,197,,
111,805,727,793,197,,
112,796,727,794,197,,
113,787,728,796,195,,
114,780,729,799,196,,
115,776,729,803,196,,
116,774,730,808,199,,
117,773,732,812,202,,
118,772,735,817,205,,
119,772,739,820,207,,
120,772,743,823,205,,
121,772,747,828,204,,
122,771,752,832,204,,
123,768,757,837,203,,
124,763,761,841,202,,
125,758,764,845,202,,
126,754,765,848,204,,
127,751,765,851,204,,
128,748,765,853,206,,
129,745,764,856,205,,
130,741,763,859,204,,
131,736,762,862,203,,
132,728,761,867,201,,
133,717,760,872,200,,
134,705,759,878,200,,
135,698,759,883,198,,
136,698,759,888,197,,
137,706,754,893,197,,
138,712,753,897,196,,
139,722,750,900,195,,
140,730,749,904,195,,
141,733,750,908,195,,
142,731,752,913,195,,
143,723,759,917,191,,
144,714,765,920,188,,
145,705,771,925,187,,
146,698,775,930,188,,
147,694,779,934,188,,
