frame,ball_x_mog2,ball_y_mog2,ball_x_yolo,ball_y_yolo
435,,,680,223
436,,,674,230
437,,,668,239
438,,,,
439,588,348,,
440,,,,
441,,,,
442,,,,
443,454,527,628,291
444,588,386,,
445,664,387,,
446,421,588,,
447,,,,
448,,,,
449,,,586,356
450,,,,
451,,,570,383
452,,,563,396
453,344,622,557,405
454,340,620,551,417
455,493,470,,
456,393,565,532,451
457,336,606,525,465
458,312,623,519,478
459,,,,
460,470,528,502,509
461,504,506,498,510
462,547,479,492,510
463,591,452,487,510
464,634,426,482,512
465,678,399,475,513
466,721,372,469,514
467,,,,
468,,,,
469,,,,
470,,,446,523
471,,,441,527
472,,,435,530
473,,,,
474,,,424,538
475,,,419,541
476,,,422,507
477,,,426,492
478,,,429,469
479,,,435,454
480,,,,
481,,,443,400
482,,,445,387
483,,,448,373
484,,,451,357
485,,,453,345
486,,,,
487,,,460,318
488,,,,
489,,,,
490,,,,
491,,,,
492,,,470,271
493,,,472,266
494,,,474,260
495,,,476,254
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,484,229
502,,,486,226
503,,,486,224
504,,,488,222
505,,,490,220
506,,,490,219
507,,,491,218
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,495,173,,
517,496,168,,
518,496,162,,
519,497,156,,
520,498,151,,
521,498,145,,
522,499,139,,
