frame,p1_x_mog2,p1_y_mog2,p2_x_mog2,p2_y_mog2,ball_x_mog2,ball_y_mog2,p1_x_yolo,p1_y_yolo,p2_x_yolo,p2_y_yolo,ball_x_yolo,ball_y_yolo
55,408.99072265625,323.7026062011719,164.34640502929688,1970.9927978515625,,,400.6119079589844,434.7557678222656,155.61729431152344,1913.3541259765625,,
56,402.023681640625,323.8733825683594,162.99929809570312,1964.9825439453125,,,399.2611999511719,434.78839111328125,154.9879608154297,1906.9715576171875,,
57,396.5257263183594,317.2693176269531,161.81431579589844,1952.822021484375,,,399.18328857421875,441.0997009277344,155.56280517578125,1904.8199462890625,,
58,395.2763366699219,303.7467956542969,161.5866241455078,1942.5587158203125,,,397.7597961425781,447.4208068847656,154.5662078857422,1902.6943359375,,
59,395.4239807128906,290.08831787109375,160.98486328125,1936.3587646484375,,,397.7597961425781,447.4208068847656,155.14181518554688,1900.5335693359375,,
60,394.48370361328125,377.0802917480469,160.783447265625,1934.28369140625,,,399.18328857421875,441.0997009277344,155.50784301757812,1896.2138671875,,
61,397.9862976074219,428.4870300292969,159.36180114746094,1919.636474609375,,,398.951171875,459.8981628417969,155.296630859375,1894.0548095703125,,
62,398.21527099609375,409.3471374511719,159.90133666992188,1909.0123291015625,,,401.5516357421875,466.05517578125,155.0849609375,1891.8912353515625,,
63,402.5505676269531,389.8980407714844,149.25244140625,1815.4794921875,129.13365173339844,1780.275146484375,404.2289733886719,465.99078369140625,155.0849609375,1891.8912353515625,,
64,405.5581970214844,370.2678527832031,141.27072143554688,1750.6854248046875,120.6279296875,1845.96337890625,405.5676574707031,465.9585876464844,155.0849609375,1891.8912353515625,,
65,409.38812255859375,296.5849914550781,135.6063232421875,1710.407470703125,251.91363525390625,646.356689453125,408.15179443359375,472.0940246582031,155.87542724609375,1891.8758544921875,,
66,412.8352355957031,255.0681610107422,133.5636444091797,1689.6910400390625,274.9020690917969,431.4623718261719,409.4881286621094,472.0618896484375,155.0849609375,1891.8912353515625,,
67,413.92559814453125,275.874267578125,131.9165496826172,1681.840576171875,,,410.824462890625,472.02978515625,152.7135772705078,1891.9373779296875,,
68,415.6749572753906,254.99790954589844,129.038818359375,1679.25830078125,166.17787170410156,1735.2137451171875,412.16082763671875,471.9976806640625,150.3422393798828,1891.9833984375,,
69,417.2109069824219,247.96279907226562,127.56014251708984,1681.92822265625,132.61167907714844,1813.47021484375,412.16082763671875,471.9976806640625,148.76136779785156,1892.01416015625,,
70,424.3240051269531,247.78671264648438,125.14863586425781,1692.475830078125,159.19625854492188,1925.954833984375,412.16082763671875,471.9976806640625,150.1251220703125,1889.8154296875,221.8373260498047,914.21435546875
71,424.0654602050781,261.76123046875,138.32937622070312,1796.8538818359375,,,413.4971923828125,471.9655456542969,149.1154327392578,1887.658203125,,
72,428.31732177734375,261.6561584472656,142.4466552734375,1861.3026123046875,,,413.4971923828125,471.9655456542969,148.32333374023438,1887.673583984375,,
73,426.6327209472656,275.5608215332031,145.69639587402344,1900.717041015625,,,414.728759765625,478.11163330078125,148.8965606689453,1885.4810791015625,,
74,429.1807861328125,289.25714111328125,147.0132293701172,1913.5208740234375,,,417.39678955078125,478.0475769042969,146.29588317871094,1883.3455810546875,,
75,430.30841064453125,302.8857727050781,146.44973754882812,1915.6544189453125,,,417.39678955078125,478.0475769042969,144.70834350585938,1883.37646484375,,
76,430.30841064453125,302.8857727050781,139.04766845703125,1890.0308837890625,,,416.0627746582031,478.07958984375,140.17440795898438,1885.65087890625,,
77,428.7708435058594,309.7135314941406,132.73460388183594,1868.17724609375,,,417.39678955078125,478.0475769042969,137.7957305908203,1885.6971435546875,,
78,427.239013671875,316.5157775878906,128.73646545410156,1868.2552490234375,,,417.50634765625,471.86920166015625,134.38975524902344,1883.5775146484375,173.85888671875,1415.857421875
